full_name| birthday| gender| address| father_full_name| mather_full_name| id_class| add_inform
Михеев Степан Денисович|17.12.2009|Мужской|Россия, г. Одинцово, Весенняя ул. д. 21 кв.129|Михеев Денис Андреевич|Егорова Милана Марковна|2|У учащегося хорошее умственное развитие, имеет достаточный уровень знаний практически по всем предметам
Плотников Владимир Артёмович|01.11.2017|Мужской|Россия, г. Одинцово, Строителей ул., д. 23 кв.190|Плотников Артём Степанович|Плотникова  Милана Марковна|1|Речь выразительная, эмоциональная
Русаков Александр Даниэльевич|22.09.2007|Мужской|Россия, г. Одинцово, Западная ул., д. 17 кв.187|Русаков Даниэль Дмитриевич|Колесникова Алиса Фёдоровна|4|Умеет отличать существенные и второстепенные признаки предметов и явлений, имеет развитое воображение
Грачева Ника Матвеевна|27.04.2014|Женский|Россия, г. Одинцово, Мичурина ул., д. 18 кв.99|Грачев Матвей Иванович|Грачева Милана Марковна|5|Организованная, владеет навыками самостоятельной работы с книгой, быстро заучивает материал, контролирует себя, соблюдает режим дня, всегда приходит в школу в надлежащем виде
Смирнов Александр Романович|12.10.2018|Мужской|Россия, г. Одинцово, Майская ул., д. 17 кв.180|Смирнов Роман Даниилович|Ильина Дарья Дмитриевна|3|Трудолюбивый (хорошо работает на субботниках, дежурит в классе), общительный (имеет товарищей в классе - как мальчиков так и девочек)
Никулина Дарья Данииловна|08.08.2006|Женский|Россия, г. Одинцово, Новый пер., д. 20 кв.159|Никулин ДаниилТимурович|Белова Арина Филипповна|2|Не однократно принимала участие в спортивных соревнованиях на городском уровне, защищая достоинство школы
Власов Максим Игоревич|09.11.2015|Мужской|Россия, г. Одинцово, Набережная ул., д. 13 кв.55|Власов Игорь Арсеньевич|Власова  Милана Марковна|3|Имеет развитую память, хорошо запоминает учебный материал и потом его воспроизводит
Баженова Полина Константиновна|22.02.2010|Женский|Россия, г. Одинцово, Зеленый пер., д. 12 кв.59|Баженов Константин Дмитриевич|Емельянова Стефания Мирославовна|1|Почти всегда проявляет уважение к другим людям
Кузнецова Амина Макаровна|16.10.2014|Женский|Россия, г. Одинцово, Колхозная ул., д. 18 кв.118|Кузнецов Макар Дмитриевич|Кузнецова Полина Львовна|4|Программный материал усваивает основательно
Гришин Фёдор Никитич|03.03.2011|Мужской|Россия, г. Одинцово, Лесной пер.,  д. 21 кв.98|Гришин Никита Артёмович|Гришина Милана Марковна|5|Серьезно занимается спортом (плавание и велоспорт), занимает призовые места на соревнованиях городского и областного значения
